2022-02-28 03:49:24.118636 : Step: 8584/370000, accuracy: 1.000000, cls loss: 0.001042, bbox loss: 56.546585,Landmark loss :114.682282,L2 loss: 4.908104, Total Loss: 147.864722 ,lr:0.000010 
2022-02-28 03:49:34.218152 : Step: 8917/370000, accuracy: 1.000000, cls loss: 0.001942, bbox loss: 57.939555,Landmark loss :113.712176,L2 loss: 4.909211, Total Loss: 147.593107 ,lr:0.000010 
2022-02-28 03:49:35.412179 : Step: 8954/370000, accuracy: 0.999128, cls loss: 0.003091, bbox loss: 60.575302,Landmark loss :111.702510,L2 loss: 4.909033, Total Loss: 146.902285 ,lr:0.000010 
2022-02-28 03:49:38.823684 : Step: 9065/370000, accuracy: 1.000000, cls loss: 0.001856, bbox loss: 57.502170,Landmark loss :111.042517,L2 loss: 4.907397, Total Loss: 144.702855 ,lr:0.000010 
2022-02-28 03:49:44.496713 : Step: 9250/370000, accuracy: 1.000000, cls loss: 0.001563, bbox loss: 58.380358,Landmark loss :109.135439,L2 loss: 4.904830, Total Loss: 143.232011 ,lr:0.000010 
2022-02-28 03:49:52.313302 : Step: 9509/370000, accuracy: 1.000000, cls loss: 0.001531, bbox loss: 57.887046,Landmark loss :109.376667,L2 loss: 4.905525, Total Loss: 143.227246 ,lr:0.000010 
2022-02-28 03:49:54.650603 : Step: 9583/370000, accuracy: 0.999205, cls loss: 0.003473, bbox loss: 56.245339,Landmark loss :107.724342,L2 loss: 4.904785, Total Loss: 140.755270 ,lr:0.000010 
2022-02-28 03:50:03.607867 : Step: 9879/370000, accuracy: 1.000000, cls loss: 0.002539, bbox loss: 56.415029,Landmark loss :107.220238,L2 loss: 4.904724, Total Loss: 140.335015 ,lr:0.000010 
2022-02-28 03:50:10.363046 : Step: 10101/370000, accuracy: 1.000000, cls loss: 0.001662, bbox loss: 56.984235,Landmark loss :104.292746,L2 loss: 4.902727, Total Loss: 137.689253 ,lr:0.000010 
2022-02-28 03:50:12.683523 : Step: 10175/370000, accuracy: 1.000000, cls loss: 0.001564, bbox loss: 56.242811,Landmark loss :100.714543,L2 loss: 4.902709, Total Loss: 133.740221 ,lr:0.000010 
