2022-03-02 11:02:49.842160 : Step: 475/25000, accuracy: 1.000000, cls loss: 0.000061, bbox loss: 85.628481,Landmark loss :192.989673,L2 loss: 1.519314, Total Loss: 237.323289 ,lr:0.001000 
2022-03-02 11:02:53.417795 : Step: 480/25000, accuracy: 1.000000, cls loss: 0.000059, bbox loss: 84.384521,Landmark loss :191.898178,L2 loss: 1.520167, Total Loss: 235.610665 ,lr:0.001000 
2022-03-02 11:02:57.074746 : Step: 485/25000, accuracy: 1.000000, cls loss: 0.000057, bbox loss: 83.770076,Landmark loss :190.787979,L2 loss: 1.521040, Total Loss: 234.194114 ,lr:0.001000 
2022-03-02 11:03:00.718940 : Step: 490/25000, accuracy: 1.000000, cls loss: 0.000057, bbox loss: 83.287862,Landmark loss :190.794431,L2 loss: 1.521961, Total Loss: 233.960379 ,lr:0.001000 
2022-03-02 11:03:04.350128 : Step: 495/25000, accuracy: 1.000000, cls loss: 0.000055, bbox loss: 82.721643,Landmark loss :187.479224,L2 loss: 1.522875, Total Loss: 230.362975 ,lr:0.001000 
2022-03-02 11:03:08.001185 : Step: 500/25000, accuracy: 1.000000, cls loss: 0.000055, bbox loss: 82.803304,Landmark loss :186.964417,L2 loss: 1.523837, Total Loss: 229.889960 ,lr:0.001000 
2022-03-02 11:03:11.620403 : Step: 505/25000, accuracy: 1.000000, cls loss: 0.000055, bbox loss: 81.862994,Landmark loss :185.916144,L2 loss: 1.524793, Total Loss: 228.372489 ,lr:0.001000 
2022-03-02 11:03:15.273118 : Step: 510/25000, accuracy: 1.000000, cls loss: 0.000052, bbox loss: 81.577933,Landmark loss :184.972519,L2 loss: 1.525849, Total Loss: 227.287386 ,lr:0.001000 
2022-03-02 11:03:22.463090 : Step: 520/25000, accuracy: 1.000000, cls loss: 0.000049, bbox loss: 80.773613,Landmark loss :183.572580,L2 loss: 1.527565, Total Loss: 225.487000 ,lr:0.001000 
2022-03-02 11:03:26.061772 : Step: 525/25000, accuracy: 1.000000, cls loss: 0.000050, bbox loss: 78.914442,Landmark loss :182.510983,L2 loss: 1.528293, Total Loss: 223.496547 ,lr:0.001000 
2022-03-02 11:03:29.691159 : Step: 530/25000, accuracy: 1.000000, cls loss: 0.000048, bbox loss: 78.893089,Landmark loss :182.279382,L2 loss: 1.529267, Total Loss: 223.255241 ,lr:0.001000 
2022-03-02 11:03:33.298684 : Step: 535/25000, accuracy: 1.000000, cls loss: 0.000049, bbox loss: 78.744400,Landmark loss :179.735410,L2 loss: 1.530079, Total Loss: 220.637737 ,lr:0.001000 
2022-03-02 11:03:36.974249 : Step: 540/25000, accuracy: 1.000000, cls loss: 0.000047, bbox loss: 77.663336,Landmark loss :179.961096,L2 loss: 1.531018, Total Loss: 220.323829 ,lr:0.001000 
2022-03-02 11:03:40.642084 : Step: 545/25000, accuracy: 1.000000, cls loss: 0.000047, bbox loss: 77.307851,Landmark loss :178.040048,L2 loss: 1.531995, Total Loss: 218.226016 ,lr:0.001000 
2022-03-02 11:03:44.266910 : Step: 550/25000, accuracy: 1.000000, cls loss: 0.000046, bbox loss: 76.978882,Landmark loss :176.649350,L2 loss: 1.532845, Total Loss: 216.671682 ,lr:0.001000 
2022-03-02 11:03:47.890112 : Step: 555/25000, accuracy: 1.000000, cls loss: 0.000044, bbox loss: 75.955582,Landmark loss :174.241470,L2 loss: 1.533857, Total Loss: 213.753162 ,lr:0.001000 
2022-03-02 11:03:51.517009 : Step: 560/25000, accuracy: 1.000000, cls loss: 0.000043, bbox loss: 75.300073,Landmark loss :174.110620,L2 loss: 1.534831, Total Loss: 213.295530 ,lr:0.001000 
2022-03-02 11:03:55.097042 : Step: 565/25000, accuracy: 1.000000, cls loss: 0.000044, bbox loss: 75.191711,Landmark loss :172.541159,L2 loss: 1.535769, Total Loss: 211.672827 ,lr:0.001000 
2022-03-02 11:04:05.682483 : Step: 580/25000, accuracy: 1.000000, cls loss: 0.000039, bbox loss: 73.973120,Landmark loss :170.708691,L2 loss: 1.538500, Total Loss: 209.233790 ,lr:0.001000 
2022-03-02 11:04:09.297390 : Step: 585/25000, accuracy: 1.000000, cls loss: 0.000039, bbox loss: 72.441861,Landmark loss :168.247662,L2 loss: 1.539286, Total Loss: 206.007919 ,lr:0.001000 
2022-03-02 11:04:12.929054 : Step: 590/25000, accuracy: 1.000000, cls loss: 0.000039, bbox loss: 71.914355,Landmark loss :167.296683,L2 loss: 1.540201, Total Loss: 204.794100 ,lr:0.001000 
2022-03-02 11:04:20.041281 : Step: 600/25000, accuracy: 1.000000, cls loss: 0.000038, bbox loss: 71.271338,Landmark loss :165.267920,L2 loss: 1.542016, Total Loss: 202.445643 ,lr:0.001000 
2022-03-02 11:04:23.697496 : Step: 605/25000, accuracy: 1.000000, cls loss: 0.000037, bbox loss: 71.080937,Landmark loss :165.313742,L2 loss: 1.543051, Total Loss: 202.397298 ,lr:0.001000 
2022-03-02 11:04:27.351813 : Step: 610/25000, accuracy: 1.000000, cls loss: 0.000037, bbox loss: 70.063571,Landmark loss :165.739407,L2 loss: 1.543859, Total Loss: 202.315088 ,lr:0.001000 
2022-03-02 11:04:30.996984 : Step: 615/25000, accuracy: 1.000000, cls loss: 0.000034, bbox loss: 69.081441,Landmark loss :162.981528,L2 loss: 1.544891, Total Loss: 199.067174 ,lr:0.001000 
2022-03-02 11:04:34.632175 : Step: 620/25000, accuracy: 1.000000, cls loss: 0.000034, bbox loss: 68.589503,Landmark loss :162.015488,L2 loss: 1.545817, Total Loss: 197.856091 ,lr:0.001000 
2022-03-02 11:04:38.283169 : Step: 625/25000, accuracy: 1.000000, cls loss: 0.000034, bbox loss: 68.093274,Landmark loss :160.671872,L2 loss: 1.546784, Total Loss: 196.265328 ,lr:0.001000 
2022-03-02 11:04:41.898055 : Step: 630/25000, accuracy: 1.000000, cls loss: 0.000032, bbox loss: 67.077637,Landmark loss :159.441144,L2 loss: 1.547844, Total Loss: 194.527839 ,lr:0.001000 
2022-03-02 11:04:49.034604 : Step: 640/25000, accuracy: 1.000000, cls loss: 0.000031, bbox loss: 65.852052,Landmark loss :156.979712,L2 loss: 1.549861, Total Loss: 191.455630 ,lr:0.001000 
2022-03-02 11:04:52.688351 : Step: 645/25000, accuracy: 1.000000, cls loss: 0.000032, bbox loss: 66.633345,Landmark loss :156.095285,L2 loss: 1.550716, Total Loss: 190.962705 ,lr:0.001000 
2022-03-02 11:04:56.362980 : Step: 650/25000, accuracy: 1.000000, cls loss: 0.000030, bbox loss: 65.821642,Landmark loss :156.117944,L2 loss: 1.551869, Total Loss: 190.580665 ,lr:0.001000 
2022-03-02 11:04:59.990593 : Step: 655/25000, accuracy: 1.000000, cls loss: 0.000031, bbox loss: 65.790446,Landmark loss :156.052255,L2 loss: 1.552554, Total Loss: 190.500063 ,lr:0.001000 
2022-03-02 11:05:03.623682 : Step: 660/25000, accuracy: 1.000000, cls loss: 0.000029, bbox loss: 65.987570,Landmark loss :155.890210,L2 loss: 1.553687, Total Loss: 190.437711 ,lr:0.001000 
2022-03-02 11:05:07.221415 : Step: 665/25000, accuracy: 1.000000, cls loss: 0.000030, bbox loss: 64.561817,Landmark loss :154.828201,L2 loss: 1.554216, Total Loss: 188.663356 ,lr:0.001000 
2022-03-02 11:05:10.860113 : Step: 670/25000, accuracy: 1.000000, cls loss: 0.000027, bbox loss: 63.284896,Landmark loss :151.596194,L2 loss: 1.555250, Total Loss: 184.793919 ,lr:0.001000 
2022-03-02 11:05:14.521149 : Step: 675/25000, accuracy: 1.000000, cls loss: 0.000028, bbox loss: 61.806656,Landmark loss :149.301019,L2 loss: 1.555944, Total Loss: 181.760319 ,lr:0.001000 
2022-03-02 11:05:18.138189 : Step: 680/25000, accuracy: 1.000000, cls loss: 0.000027, bbox loss: 61.608903,Landmark loss :148.670218,L2 loss: 1.556933, Total Loss: 181.031630 ,lr:0.001000 
2022-03-02 11:05:21.731927 : Step: 685/25000, accuracy: 1.000000, cls loss: 0.000027, bbox loss: 60.770885,Landmark loss :146.788739,L2 loss: 1.557697, Total Loss: 178.731906 ,lr:0.001000 
2022-03-02 11:05:25.371152 : Step: 690/25000, accuracy: 1.000000, cls loss: 0.000026, bbox loss: 60.807341,Landmark loss :146.584253,L2 loss: 1.558698, Total Loss: 178.546647 ,lr:0.001000 
2022-03-02 11:05:28.994933 : Step: 695/25000, accuracy: 1.000000, cls loss: 0.000027, bbox loss: 60.292446,Landmark loss :145.784625,L2 loss: 1.559419, Total Loss: 177.490294 ,lr:0.001000 
2022-03-02 11:05:32.642372 : Step: 700/25000, accuracy: 1.000000, cls loss: 0.000025, bbox loss: 59.354613,Landmark loss :143.357529,L2 loss: 1.560439, Total Loss: 174.595299 ,lr:0.001000 
2022-03-02 11:05:36.219793 : Step: 705/25000, accuracy: 1.000000, cls loss: 0.000025, bbox loss: 59.176589,Landmark loss :142.847400,L2 loss: 1.561139, Total Loss: 173.996859 ,lr:0.001000 
2022-03-02 11:05:39.835735 : Step: 710/25000, accuracy: 1.000000, cls loss: 0.000024, bbox loss: 57.877206,Landmark loss :140.528360,L2 loss: 1.562137, Total Loss: 171.029124 ,lr:0.001000 
2022-03-02 11:05:43.459722 : Step: 715/25000, accuracy: 1.000000, cls loss: 0.000024, bbox loss: 57.468651,Landmark loss :139.906064,L2 loss: 1.562963, Total Loss: 170.203376 ,lr:0.001000 
2022-03-02 11:05:47.066045 : Step: 720/25000, accuracy: 1.000000, cls loss: 0.000024, bbox loss: 56.399184,Landmark loss :138.522095,L2 loss: 1.563921, Total Loss: 168.285631 ,lr:0.001000 
2022-03-02 11:05:50.745632 : Step: 725/25000, accuracy: 1.000000, cls loss: 0.000023, bbox loss: 56.257636,Landmark loss :138.090916,L2 loss: 1.564825, Total Loss: 167.784583 ,lr:0.001000 
2022-03-02 11:05:54.356572 : Step: 730/25000, accuracy: 1.000000, cls loss: 0.000023, bbox loss: 55.376404,Landmark loss :136.346808,L2 loss: 1.565758, Total Loss: 165.600791 ,lr:0.001000 
2022-03-02 11:05:58.023870 : Step: 735/25000, accuracy: 1.000000, cls loss: 0.000023, bbox loss: 55.075271,Landmark loss :134.899696,L2 loss: 1.566724, Total Loss: 164.004078 ,lr:0.001000 
2022-03-02 11:06:01.607008 : Step: 740/25000, accuracy: 1.000000, cls loss: 0.000022, bbox loss: 54.109284,Landmark loss :134.113943,L2 loss: 1.567679, Total Loss: 162.736287 ,lr:0.001000 
2022-03-02 11:06:05.202530 : Step: 745/25000, accuracy: 1.000000, cls loss: 0.000022, bbox loss: 54.081650,Landmark loss :133.945935,L2 loss: 1.568604, Total Loss: 162.555386 ,lr:0.001000 
2022-03-02 11:06:22.997187 : Step: 770/25000, accuracy: 1.000000, cls loss: 0.000020, bbox loss: 52.433402,Landmark loss :131.391238,L2 loss: 1.572565, Total Loss: 159.180524 ,lr:0.001000 
2022-03-02 11:06:26.635004 : Step: 775/25000, accuracy: 1.000000, cls loss: 0.000020, bbox loss: 50.926289,Landmark loss :128.140353,L2 loss: 1.573252, Total Loss: 155.176770 ,lr:0.001000 
